Work Item Type,Parent,Title,State,Story Points,Priority,Description,Acceptance Criteria,Tags,Business Value
Product Backlog Item,165,Update Agent Instructions,New,8,1,"As a user, I want to update agent instructions so that I can customize agent behavior","[x] Edit agent prompts; [x] Save to HOCON file; [x] Changes persist; [x] Validation for required fields","v1.0; customization",
Product Backlog Item,165,Create New Network,New,13,2,"As a user, I want to create blank networks so that I can build custom networks from scratch","[x] Modal for network creation; [x] Name input; [x] Generate blank template; [x] Save to file system; [x] Immediate availability","v1.0; creation",
Product Backlog Item,166,Interactive Graph Visualization,New,21,1,"As a user, I want to see networks as interactive graphs so that I can understand structure visually","[x] Agents as node cards; [x] Connections as edges with arrows; [x] Click to select; [x] Zoom and pan; [x] Minimap navigation; [x] Smooth animations","v1.0; visualization",
Product Backlog Item,166,Agent Node Rendering,New,13,1,"As a user, I want agents displayed as cards so that I can identify them quickly","[x] Icon, name, type badge; [x] Description tooltip; [x] Color coding by type; [x] Selected state highlighting; [x] Active execution animation","v1.0; ui",
Product Backlog Item,166,Automatic Graph Layout,New,13,1,"As a user, I want automatic node arrangement so that I don't manually position nodes","[x] Dagre algorithm applied; [x] Hierarchical layout; [x] Consistent spacing; [x] Edge routing to avoid overlaps","v1.0; layout",
Product Backlog Item,166,Drag-and-Drop Positioning,New,8,2,"As a user, I want to drag nodes to reposition so that I can customize layout","[x] Click and drag to move; [x] Edges follow moved node; [x] Position persists; [x] Smooth animation","v1.0; interaction",
Product Backlog Item,166,Real-Time Execution Visualization,New,13,1,"As a user, I want to see executing agents highlighted so that I can follow execution flow","[x] Active agents pulsing blue ring; [x] Execution trace parsed; [x] 2-second animation; [x] Agent chain displayed","v1.0; monitoring",
Product Backlog Item,166,Agent Context Menu,New,5,2,"As a user, I want right-click context menu so that I can perform quick actions","[x] Right-click opens menu; [x] Actions: View, Edit, Connect, Delete, Duplicate; [x] Click outside closes; [x] Keyboard shortcuts","v1.0; ux",
Product Backlog Item,167,Configuration Drawer,New,21,1,"As a user, I want comprehensive configuration interface so that I can customize all agent aspects","[x] 600px right-side drawer; [x] 7 tabs: Overview, Function, Instructions, Command, Tools, MCP, Advanced; [x] Tab navigation; [x] Close button and backdrop","v1.0; configuration",
Product Backlog Item,167,Dynamic Function Parameters,New,13,1,"As a user, I want to manage function parameters so that I can define agent function signature","[x] Add/edit/remove parameters; [x] Type selection: string, integer, boolean, array, object; [x] Required toggle; [x] Validation for duplicates","v1.0; parameters",
Product Backlog Item,167,Instructions Editor,New,8,1,"As a user, I want to edit agent instructions so that I can define behavior in natural language","[x] Multiline textarea; [x] Character count; [x] Auto-resize; [x] Unsaved changes indicator","v1.0; editor",
Product Backlog Item,167,Visual Tools Selection,New,13,1,"As a user, I want visual tool selection so that I can give agents capabilities","[x] 58+ tools as cards; [x] 12 categories; [x] Search and filter; [x] Selected badge counter","v1.0; tools",
Product Backlog Item,167,MCP Servers Configuration,New,13,1,"As a user, I want to configure MCP servers so that agents connect to external services","[x] 9+ MCP servers; [x] Server cards with descriptions; [x] Configure parameters; [x] Test connection; [x] Status indicator","v1.0; integration",
Product Backlog Item,167,LLM Configuration,New,8,2,"As a user, I want to configure LLM parameters so that I can tune response generation","[x] Model selection; [x] Temperature slider (0-1); [x] Max tokens input; [x] Top P, frequency penalty, presence penalty; [x] Reset to defaults","v1.0; llm",
Product Backlog Item,167,Unsaved Changes Protection,New,5,1,"As a user, I want warning before losing unsaved changes so that I don't accidentally discard work","[x] Auto-detect unsaved changes; [x] Warning modal on agent switch; [x] Options: Keep Editing / Discard; [x] Indicator shows unsaved state","v1.0; ux",
Product Backlog Item,167,Configuration Persistence,New,8,1,"As a user, I want configurations saved automatically so that changes persist across sessions","[x] Save to backend; [x] localStorage fallback; [x] Load on selection; [x] Delete configuration; [x] List all configs","v1.0; persistence",
Product Backlog Item,168,Network Designer Copilot Interface,New,13,1,"As a user, I want to describe my desired network in natural language so that AI can generate an architecture plan automatically","[x] Copilot panel in sidebar; [x] Text input for network requirements; [x] Submit button to generate plan; [x] Dual engine toggle; [x] Loading state during generation; [x] User-friendly error messages","v1.0; ai; copilot",
Product Backlog Item,168,Gemini AI Integration,New,13,1,"As a developer, I want Gemini 2.5 Pro API integration so that AI can understand requirements and generate architectures","[x] API key management via environment variables; [x] Prompt engineering for network generation; [x] Structured JSON response parsing; [x] Error handling for API failures; [x] Rate limiting awareness; [x] Response validation","v1.0; ai; gemini",
Product Backlog Item,168,Mermaid Diagram Generation,New,8,1,"As a user, I want to see visual diagram of proposed network so that I can understand architecture before approving","[x] Mermaid flowchart generated from AI plan; [x] New agents highlighted in green; [x] Existing agents in blue; [x] Connection arrows displayed; [x] Dark theme support; [x] Responsive SVG output; [x] Error handling for invalid diagrams","v1.0; visualization; mermaid",
Product Backlog Item,168,Architecture Plan Approval Workflow,New,8,2,"As a user, I want to review and approve AI-generated plans so that I maintain control over network changes","[x] Plan displayed in modal dialog; [x] Show title and description and implementation steps; [x] Display Mermaid diagram preview; [x] List new and existing agents; [x] Approve button applies plan to network; [x] Reject button discards plan; [x] Close modal without applying","v1.0; workflow; approval",
Product Backlog Item,168,Native Generator Integration,New,13,1,"As a user, I want to use Neuro SAN native generator so that I can leverage streaming terminal logs and direct HOCON generation","[x] Native engine option in copilot; [x] Streaming terminal logs displayed in real-time; [x] Direct HOCON file generation; [x] JSON-lines parsing; [x] Progress updates shown; [x] Abort support via AbortController","v1.0; streaming; native",
Product Backlog Item,169,WebSocket Chat Connection,New,13,1,"As a user, I want to chat with my agent network in real-time so that I can interact with agents and receive immediate responses","[x] WebSocket connection to chat endpoint; [x] Send user messages to network; [x] Receive AI responses in real-time; [x] Connection status indicator; [x] Automatic reconnection on disconnect; [x] Session ID binding for conversation continuity","v1.0; chat; websocket",
Product Backlog Item,169,Chat Message Rendering,New,8,1,"As a user, I want messages formatted with Markdown so that code blocks and lists and formatted text are readable","[x] Markdown rendering with react-markdown; [x] Code blocks with syntax highlighting; [x] User messages right-aligned with distinct styling; [x] AI messages left-aligned; [x] Timestamps displayed for each message; [x] Auto-scroll to latest message","v1.0; chat; markdown",
Product Backlog Item,169,Execution Logs Streaming,New,13,1,"As a user, I want to see execution logs in real-time so that I can understand what agents are doing during execution","[x] WebSocket connection to logs endpoint; [x] Log entries displayed as they arrive; [x] Execution trace parsed and displayed; [x] Token accounting shown per message; [x] Response time displayed; [x] Collapsible logs panel","v1.0; logs; monitoring",
Product Backlog Item,169,Internal Agent Chat,New,8,2,"As a user, I want to see agent-to-agent communication so that I understand how agents delegate and collaborate","[x] Separate WebSocket for internal chat; [x] Display agent delegation messages; [x] Show agent reasoning and decision-making; [x] Color-code messages by agent; [x] Trace full agent chain; [x] Optional toggle visibility","v1.0; chat; internal",
Product Backlog Item,169,Chat Context Persistence,New,5,1,"As a user, I want the chat to remember previous messages so that agents have context for follow-up questions","[x] Chat context passed with each message; [x] Sly data tracked across messages; [x] Context persists during session; [x] Clear history button to reset; [x] Context size limits enforced","v1.0; chat; context",
Product Backlog Item,170,Component Library Sidebar,New,13,1,"As a user, I want to browse available tools in a sidebar so that I can discover what capabilities exist","[x] Floating sidebar toggleable from navigation; [x] 6 categories; [x] Collapsible folder structure with icons; [x] Tool cards with icon and name and description; [x] Tooltip showing full description on hover; [x] Search functionality across all tools","v1.0; library; tools",
Product Backlog Item,170,Tool Search & Filter,New,5,2,"As a user, I want to search tools by name or description so that I can quickly find needed capabilities","[x] Search input at top of library; [x] Real-time filtering as user types; [x] Search matches tool name and description; [x] Clear search button; [x] No results message when empty; [x] Optional category filters","v1.0; search; filter",
Product Backlog Item,170,MCP Marketplace,New,13,1,"As a user, I want to browse and add MCP servers so that my agents can integrate with external enterprise services","[x] Marketplace sidebar with 9+ servers; [x] Server cards with icon and name and description and capabilities; [x] Search servers by name or capability; [x] Add server to agent configuration; [x] Configure server parameters; [x] Test connection button with status indicator","v1.0; mcp; marketplace",
Product Backlog Item,170,Drag-and-Drop Tool Addition,New,8,2,"As a user, I want to drag tools onto canvas so that I can add them to networks intuitively","[x] Tools draggable from library; [x] Drop onto canvas creates new tool node; [x] Node positioned at drop location; [x] Tool automatically configured with defaults; [x] Visual feedback during drag; [x] Cancel drag with ESC or drop outside canvas","v1.0; drag-drop; tools",
Product Backlog Item,171,Execution Logs Panel,New,13,1,"As a user, I want to see detailed execution logs so that I can troubleshoot issues and understand agent behavior","[x] Collapsible panel at bottom of screen; [x] Log entries with timestamps; [x] Color coding by log level; [x] Auto-scroll to latest entry; [x] Search and filter logs by keyword; [x] Clear logs button; [x] Export logs to file","v1.0; logs; debugging",
Product Backlog Item,171,Agent Chain Visualization,New,8,1,"As a user, I want to see the agent delegation chain so that I understand how agents collaborate","[x] Agent chain displayed as breadcrumb or sequential list; [x] Highlight active agents in canvas during execution; [x] Show handoff sequence between agents; [x] Color-code by agent type; [x] Click agent in chain to jump to node; [x] Updates in real-time during execution","v1.0; visualization; chain",
Product Backlog Item,171,Performance Metrics Display,New,5,2,"As a user, I want to see performance metrics so that I can optimize my agent network","[x] Total LLM calls displayed; [x] Total response time shown; [x] Average response time calculated; [x] Token usage displayed; [x] Metrics update in real-time; [x] Reset metrics button","v1.0; metrics; performance",
Product Backlog Item,171,Token Accounting,New,5,2,"As a user, I want to see token usage per message so that I can estimate costs and optimize prompts","[x] Input tokens counted and displayed; [x] Output tokens counted and displayed; [x] Total tokens per message; [x] Cumulative token usage for session; [x] Cost estimation optional; [x] Token usage shown in logs with each entry","v1.0; tokens; costs",
Product Backlog Item,172,Floating Sidebars System,New,8,2,"As a user, I want smooth slide-in sidebars so that the interface feels polished and professional","[x] 5 floating sidebars implemented; [x] Slide-in and out animations; [x] Backdrop blur effect when sidebar open; [x] Click outside sidebar to close; [x] ESC key closes active sidebar; [x] Only one sidebar open at a time","v1.0; ui; sidebars",
Product Backlog Item,172,Loading States & Spinners,New,5,1,"As a user, I want to see loading indicators so that I know the application is working and not frozen","[x] Network loading spinner during initial load; [x] AI is typing indicator in chat; [x] WebSocket connecting state displayed; [x] Button loading states; [x] Skeleton screens for lists; [x] Progress bars for long operations","v1.0; ui; loading",
Product Backlog Item,172,Error Handling UI,New,8,1,"As a user, I want clear error messages so that I know what went wrong and how to fix it","[x] Toast notifications for transient errors; [x] Inline error messages in forms; [x] Error boundaries for component crashes; [x] User-friendly error text; [x] Suggested actions when applicable; [x] Retry buttons for network errors","v1.0; ui; errors",
Product Backlog Item,172,Modal Dialog System,New,5,2,"As a user, I want consistent modal dialogs so that confirmations and forms follow familiar patterns","[x] Backdrop overlay with blur effect; [x] Centered modal with clean border; [x] Header section with title and close button; [x] Body content area with padding; [x] Footer with action buttons; [x] ESC key closes modal; [x] Click outside closes modal","v1.0; ui; modals",
